date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:35:47	271856/271856	---M--	200	added ('OK')	image/jpeg	etag:0x8DC03758E052BD1	https://truststone.blob.core.windows.net/images/e43e98bb-1882-45bb-9197-6626e7e73f49/tien-ich-tang-thuong-eaton-park-1.jpg	C:/Users/PC/Desktop/Docker/TEST/truststone.blob.core.windows.net/images/e43e98bb-1882-45bb-9197-6626e7e73f49/tien-ich-tang-thuong-eaton-park-1.jpg	(from https://quyettranlux.com/projects/eaton-park-thanh-pho-ho-chi-minh)
14:35:48	304940/304940	---M--	200	added ('OK')	image/jpeg	etag:0x8DC0375478AC2B0	https://truststone.blob.core.windows.net/images/e43e98bb-1882-45bb-9197-6626e7e73f49/cong-vien-eaton-park-1.jpg	C:/Users/PC/Desktop/Docker/TEST/truststone.blob.core.windows.net/images/e43e98bb-1882-45bb-9197-6626e7e73f49/cong-vien-eaton-park-1.jpg	(from https://quyettranlux.com/projects/eaton-park-thanh-pho-ho-chi-minh)
14:35:48	302507/302507	---M--	200	added ('OK')	image/jpeg	etag:0x8DC0375479D3686	https://truststone.blob.core.windows.net/images/e43e98bb-1882-45bb-9197-6626e7e73f49/cong-vien-eaton-park-2.jpg	C:/Users/PC/Desktop/Docker/TEST/truststone.blob.core.windows.net/images/e43e98bb-1882-45bb-9197-6626e7e73f49/cong-vien-eaton-park-2.jpg	(from https://quyettranlux.com/projects/eaton-park-thanh-pho-ho-chi-minh)
14:35:49	321193/321193	---M--	200	added ('OK')	image/jpeg	etag:0x8DC037563BF04BD	https://truststone.blob.core.windows.net/images/e43e98bb-1882-45bb-9197-6626e7e73f49/khu-vui-choi-eaton-park-1.jpg	C:/Users/PC/Desktop/Docker/TEST/truststone.blob.core.windows.net/images/e43e98bb-1882-45bb-9197-6626e7e73f49/khu-vui-choi-eaton-park-1.jpg	(from https://quyettranlux.com/projects/eaton-park-thanh-pho-ho-chi-minh)
14:35:49	338330/338330	---M--	200	added ('OK')	image/jpeg	etag:0x8DC03755659C116	https://truststone.blob.core.windows.net/images/e43e98bb-1882-45bb-9197-6626e7e73f49/ho-boi-eaton-park-3.jpg	C:/Users/PC/Desktop/Docker/TEST/truststone.blob.core.windows.net/images/e43e98bb-1882-45bb-9197-6626e7e73f49/ho-boi-eaton-park-3.jpg	(from https://quyettranlux.com/projects/eaton-park-thanh-pho-ho-chi-minh)
14:35:49	1575350/1575350	---M--	200	added ('OK')	image/png	etag:0x8DC0A98CB6176B8	https://truststone.blob.core.windows.net/images/e43e98bb-1882-45bb-9197-6626e7e73f49/vi-tri-du-an_1.png	C:/Users/PC/Desktop/Docker/TEST/truststone.blob.core.windows.net/images/e43e98bb-1882-45bb-9197-6626e7e73f49/vi-tri-du-an_1.png	(from https://quyettranlux.com/projects/eaton-park-thanh-pho-ho-chi-minh)
14:35:50	248865/248865	---M--	200	added ('OK')	image/jpeg	etag:0x8DC03759B51E21E	https://truststone.blob.core.windows.net/images/e43e98bb-1882-45bb-9197-6626e7e73f49/z4976486989588_99f490aef3ad3449c4b19f5765976c19.jpg	C:/Users/PC/Desktop/Docker/TEST/truststone.blob.core.windows.net/images/e43e98bb-1882-45bb-9197-6626e7e73f49/z4976486989588_99f490aef3ad3449c4b19f5765976c19.jpg	(from https://quyettranlux.com/projects/eaton-park-thanh-pho-ho-chi-minh)
14:35:50	74554/74554	---M--	200	added ('OK')	image/png	etag:0x8DC0A9803F1A052	https://truststone.blob.core.windows.net/images/e43e98bb-1882-45bb-9197-6626e7e73f49/Screen%20Shot%202023-12-26%20at%2009.25.16_1.png	C:/Users/PC/Desktop/Docker/TEST/truststone.blob.core.windows.net/images/e43e98bb-1882-45bb-9197-6626e7e73f49/Screen%20Shot%202023-12-26%20at%2009.25.16_1.png	(from https://quyettranlux.com/projects/eaton-park-thanh-pho-ho-chi-minh)
14:35:50	159885/159885	---M--	200	added ('OK')	image/png	etag:0x8DC0A9871F6780C	https://truststone.blob.core.windows.net/images/e43e98bb-1882-45bb-9197-6626e7e73f49/eaton-park-1pn.png	C:/Users/PC/Desktop/Docker/TEST/truststone.blob.core.windows.net/images/e43e98bb-1882-45bb-9197-6626e7e73f49/eaton-park-1pn.png	(from https://quyettranlux.com/projects/eaton-park-thanh-pho-ho-chi-minh)
14:35:51	205513/205513	---M--	200	added ('OK')	image/png	etag:0x8DC0A98723BB40D	https://truststone.blob.core.windows.net/images/e43e98bb-1882-45bb-9197-6626e7e73f49/eaton-park-2pn.png	C:/Users/PC/Desktop/Docker/TEST/truststone.blob.core.windows.net/images/e43e98bb-1882-45bb-9197-6626e7e73f49/eaton-park-2pn.png	(from https://quyettranlux.com/projects/eaton-park-thanh-pho-ho-chi-minh)
